,pretty_formula,final_structure,icsd_ids,spacegroup
982,K4I2O,"Full Formula (K4 I2 O1)
Reduced Formula: K4I2O
abc   :   9.613715   9.613715   9.613715
angles: 147.651919 147.651919  46.399470
Sites (7)
  #  SP           a         b    c    magmom
---  ----  --------  --------  ---  --------
  0  K     0.5       0         0.5         0
  1  K     0.147117  0.147117  0          -0
  2  K     0.852883  0.852883  0          -0
  3  K     0         0.5       0.5         0
  4  I     0.352913  0.352913  0           0
  5  I     0.647087  0.647087  0           0
  6  O     0         0         0           0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mmm', 'number': 139, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2'}"
983,LaMgI5,"Full Formula (La4 Mg4 I20)
Reduced Formula: LaMgI5
abc   :  15.303171   7.858094  12.364825
angles:  67.743912  90.000000  90.000000
Sites (28)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  La    0.745934  0.966385  0.875174         0
  1  La    0.754066  0.966385  0.375174         0
  2  La    0.245934  0.033615  0.624826         0
  3  La    0.254066  0.033615  0.124826         0
  4  Mg    0.049112  0.439687  0.773346         0
  5  Mg    0.549112  0.560313  0.726654         0
  6  Mg    0.450888  0.439687  0.273346         0
  7  Mg    0.950888  0.560313  0.226654         0
  8  I     0.065235  0.820799  0.704668        -0
  9  I     0.797396  0.933798  0.634055        -0
 10  I     0.375479  0.689761  0.697425        -0
 11  I     0.893358  0.673739  0.998935        -0
 12  I     0.625004  0.612677  0.91307         -0
 13  I     0.434765  0.820799  0.204668        -0
 14  I     0.702604  0.933798  0.134055        -0
 15  I     0.124521  0.689761  0.197425        -0
 16  I     0.606642  0.673739  0.498935        -0
 17  I     0.874996  0.612677  0.41307         -0
 18  I     0.125004  0.387323  0.58693         -0
 19  I     0.393358  0.326261  0.501065        -0
 20  I     0.875479  0.310239  0.802575        -0
 21  I     0.297396  0.066202  0.865945        -0
 22  I     0.565235  0.179201  0.795332        -0
 23  I     0.374996  0.387323  0.08693         -0
 24  I     0.106642  0.326261  0.001065        -0
 25  I     0.624521  0.310239  0.302575        -0
 26  I     0.202604  0.066202  0.365945        -0
 27  I     0.934765  0.179201  0.295332        -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
984,La2MgI8,"Full Formula (La4 Mg2 I16)
Reduced Formula: La2MgI8
abc   :   9.462981   9.462981  13.542128
angles:  69.020085  69.020085  61.569522
Sites (22)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  La    0.562632  0.982739  0.189516        -0
  1  La    0.982739  0.562632  0.689516        -0
  2  La    0.017261  0.437368  0.310484        -0
  3  La    0.437368  0.017261  0.810484        -0
  4  Mg    0.009154  0.990846  0.25            -0
  5  Mg    0.990846  0.009154  0.75            -0
  6  I     0.626092  0.63431   0.36221          0
  7  I     0.198517  0.038504  0.374833         0
  8  I     0.929067  0.334215  0.148722         0
  9  I     0.34399   0.896077  0.094304         0
 10  I     0.63431   0.626092  0.86221          0
 11  I     0.038504  0.198517  0.874833         0
 12  I     0.334215  0.929067  0.648722         0
 13  I     0.896077  0.34399   0.594304         0
 14  I     0.103923  0.65601   0.405696         0
 15  I     0.665785  0.070933  0.351278         0
 16  I     0.961496  0.801483  0.125167         0
 17  I     0.36569   0.373908  0.13779          0
 18  I     0.65601   0.103923  0.905696         0
 19  I     0.070933  0.665785  0.851278         0
 20  I     0.801483  0.961496  0.625167         0
 21  I     0.373908  0.36569   0.63779          0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/c', 'number': 15, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2yc'}"
985,LaMgI5,"Full Formula (La4 Mg4 I20)
Reduced Formula: LaMgI5
abc   :  15.403724   8.811971  11.942434
angles:  87.895809  90.000000  90.000000
Sites (28)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  La    0.605269  0.012873  0.589638     0
  1  La    0.210848  0.49492   0.109761     0.001
  2  La    0.710848  0.50508   0.890239     0.001
  3  La    0.105269  0.987127  0.410362     0
  4  Mg    0.158297  0.030894  0.055082     0
  5  Mg    0.545531  0.477891  0.597795    -0
  6  Mg    0.045531  0.522109  0.402205    -0
  7  Mg    0.658297  0.969106  0.944918     0
  8  I     0.737866  0.006733  0.409642    -0
  9  I     0.505749  0.018837  0.832193     0
 10  I     0.252407  0.147389  0.239149     0.001
 11  I     0.470244  0.248894  0.482701     0
 12  I     0.192143  0.270431  0.907434    -0.001
 13  I     0.006278  0.259575  0.522526    -0.001
 14  I     0.695368  0.223777  0.062693    -0
 15  I     0.710597  0.346657  0.640173     0
 16  I     0.006886  0.478147  0.182871     0.001
 17  I     0.901016  0.461873  0.86496     -0
 18  I     0.401016  0.538127  0.13504     -0
 19  I     0.506886  0.521853  0.817129     0.001
 20  I     0.210597  0.653343  0.359827     0
 21  I     0.195368  0.776223  0.937307    -0
 22  I     0.506278  0.740425  0.477474    -0.001
 23  I     0.692143  0.729569  0.092566    -0.001
 24  I     0.970244  0.751106  0.517299     0
 25  I     0.752407  0.852611  0.760851     0.001
 26  I     0.005749  0.981163  0.167807     0
 27  I     0.237866  0.993267  0.590358    -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1', 'number': 4, 'point_group': '2', 'crystal_system': 'monoclinic', 'hall': 'P 2yb'}"
986,Sr2LaI7,"Full Formula (Sr8 La4 I28)
Reduced Formula: Sr2LaI7
abc   :  17.597560   7.901151  11.956296
angles:  89.738322  90.000000  90.000000
Sites (40)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sr    0.560209  0.28383   0.676893        -0
  1  Sr    0.21772   0.293816  0.552614        -0
  2  Sr    0.939791  0.28383   0.176893        -0
  3  Sr    0.28228   0.293816  0.052614        -0
  4  Sr    0.71772   0.706184  0.947386        -0
  5  Sr    0.060209  0.71617   0.823107        -0
  6  Sr    0.78228   0.706184  0.447386        -0
  7  Sr    0.439791  0.71617   0.323107        -0
  8  La    0.869487  0.21559   0.723902         0
  9  La    0.630513  0.21559   0.223902         0
 10  La    0.369487  0.78441   0.776098         0
 11  La    0.130513  0.78441   0.276098         0
 12  I     0.213607  0.000235  0.776535         0
 13  I     0.39733   0.00245   0.555863         0
 14  I     0.286393  0.000235  0.276535         0
 15  I     0.10267   0.00245   0.055863         0
 16  I     0.426356  0.147788  0.87709          0
 17  I     0.073644  0.147788  0.37709          0
 18  I     0.642057  0.307351  0.963318         0
 19  I     0.857943  0.307351  0.463318         0
 20  I     0.042984  0.319741  0.709046         0
 21  I     0.457016  0.319741  0.209046         0
 22  I     0.895053  0.501678  0.927767         0
 23  I     0.738782  0.506408  0.695754         0
 24  I     0.604947  0.501678  0.427767         0
 25  I     0.761218  0.506408  0.195754         0
 26  I     0.238782  0.493592  0.804246         0
 27  I     0.395053  0.498322  0.572233         0
 28  I     0.261218  0.493592  0.304246         0
 29  I     0.104947  0.498322  0.072233         0
 30  I     0.542984  0.680259  0.790954         0
 31  I     0.957016  0.680259  0.290954         0
 32  I     0.142057  0.692649  0.536682         0
 33  I     0.357943  0.692649  0.036682         0
 34  I     0.926356  0.852212  0.62291          0
 35  I     0.573644  0.852212  0.12291          0
 36  I     0.89733   0.99755   0.944137         0
 37  I     0.713607  0.999765  0.723465         0
 38  I     0.60267   0.99755   0.444137         0
 39  I     0.786393  0.999765  0.223465         0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
987,Sr2LaI7,"Full Formula (Sr8 La4 I28)
Reduced Formula: Sr2LaI7
abc   :  14.802829   8.392349  15.287270
angles:  79.769759  90.000000  90.000000
Sites (40)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sr    0.532939  0.777692  0.749501     0
  1  Sr    0.127108  0.750155  0.67175      0
  2  Sr    0.796776  0.762312  0.168905     0
  3  Sr    0.372745  0.621272  0.255574     0
  4  Sr    0.872745  0.378728  0.744426     0
  5  Sr    0.296776  0.237688  0.831095     0
  6  Sr    0.627108  0.249845  0.32825      0
  7  Sr    0.032939  0.222308  0.250499     0
  8  La    0.848746  0.84808   0.555516     0
  9  La    0.070138  0.834792  0.054146     0
 10  La    0.570138  0.165208  0.945854     0
 11  La    0.348746  0.15192   0.444484     0
 12  I     0.683028  0.888413  0.886388    -0.001
 13  I     0.404457  0.940739  0.994277    -0.001
 14  I     0.527182  0.975427  0.513463    -0.001
 15  I     0.166419  0.892015  0.864496    -0.001
 16  I     0.269294  0.836418  0.393548    -0.001
 17  I     0.748565  0.887616  0.368891    -0.001
 18  I     0.920165  0.787781  0.755569    -0.001
 19  I     0.99738   0.823191  0.256148    -0.001
 20  I     0.337477  0.610697  0.691817    -0.001
 21  I     0.589864  0.604401  0.187798    -0.001
 22  I     0.689218  0.609773  0.631932    -0.001
 23  I     0.719468  0.426704  0.887986    -0.001
 24  I     0.976927  0.534404  0.557743    -0.001
 25  I     0.43516   0.46215   0.938498    -0.001
 26  I     0.93516   0.53785   0.061502    -0.001
 27  I     0.476927  0.465596  0.442257    -0.001
 28  I     0.219468  0.573296  0.112014    -0.001
 29  I     0.189218  0.390227  0.368068    -0.001
 30  I     0.089864  0.395599  0.812202    -0.001
 31  I     0.837477  0.389303  0.308183    -0.001
 32  I     0.49738   0.176809  0.743852    -0.001
 33  I     0.420165  0.212219  0.244431    -0.001
 34  I     0.248565  0.112384  0.631109    -0.001
 35  I     0.769294  0.163582  0.606452    -0.001
 36  I     0.666419  0.107985  0.135504    -0.001
 37  I     0.027182  0.024573  0.486537    -0.001
 38  I     0.904457  0.059261  0.005723    -0.001
 39  I     0.183028  0.111587  0.113612    -0.001",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1', 'number': 4, 'point_group': '2', 'crystal_system': 'monoclinic', 'hall': 'P 2yb'}"
988,Sr3LaI9,"Full Formula (Sr12 La4 I36)
Reduced Formula: Sr3LaI9
abc   :   7.802330   8.404960  33.106997
angles:  88.207710  90.000000  90.000000
Sites (52)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sr    0.967041  0.668392  0.932765     0
  1  Sr    0.001548  0.70016   0.692175     0
  2  Sr    0.032959  0.668392  0.432765     0
  3  Sr    0.998452  0.70016   0.192175     0
  4  Sr    0.984611  0.320732  0.56861      0
  5  Sr    0.981852  0.286265  0.809601     0
  6  Sr    0.015389  0.320732  0.06861      0
  7  Sr    0.018148  0.286265  0.309601     0
  8  Sr    0.522552  0.21046   0.692079     0
  9  Sr    0.516774  0.171922  0.931777     0
 10  Sr    0.477448  0.21046   0.192079     0
 11  Sr    0.483226  0.171922  0.431777     0
 12  La    0.5213    0.798864  0.806848    -0
 13  La    0.546592  0.822996  0.567681     0
 14  La    0.4787    0.798864  0.306848    -0
 15  La    0.453408  0.822996  0.067681     0
 16  I     0.80142   0.985412  0.869613    -0
 17  I     0.822756  0.991118  0.75121      0
 18  I     0.820243  0.99887   0.628935    -0
 19  I     0.19858   0.985412  0.369613    -0
 20  I     0.177244  0.991118  0.25121      0
 21  I     0.709897  0.889307  0.991498    -0.001
 22  I     0.179757  0.99887   0.128935    -0
 23  I     0.324859  0.848211  0.895004    -0
 24  I     0.290103  0.889307  0.491498    -0.001
 25  I     0.391168  0.843036  0.705891     0
 26  I     0.675141  0.848211  0.395004    -0
 27  I     0.608832  0.843036  0.205891     0
 28  I     0.152728  0.642997  0.795936     0
 29  I     0.199926  0.648072  0.599357    -0
 30  I     0.847272  0.642997  0.295936     0
 31  I     0.800074  0.648072  0.099357    -0
 32  I     0.753568  0.587157  0.509892    -0.001
 33  I     0.682039  0.502456  0.868112    -0
 34  I     0.694174  0.505635  0.750889     0
 35  I     0.701051  0.516703  0.628793    -0
 36  I     0.246432  0.587157  0.009892    -0.001
 37  I     0.317961  0.502456  0.368112    -0
 38  I     0.305826  0.505635  0.250889     0
 39  I     0.298949  0.516703  0.128793    -0
 40  I     0.762253  0.391438  0.989397    -0.001
 41  I     0.237747  0.391438  0.489397    -0.001
 42  I     0.159626  0.343595  0.900394    -0
 43  I     0.123166  0.329174  0.699261     0
 44  I     0.840374  0.343595  0.400394    -0
 45  I     0.876834  0.329174  0.199261     0
 46  I     0.384003  0.154385  0.797255     0
 47  I     0.349     0.13446   0.599082    -0
 48  I     0.615997  0.154385  0.297255     0
 49  I     0.651     0.13446   0.099082    -0
 50  I     0.757542  0.077446  0.50976     -0.001
 51  I     0.242458  0.077446  0.00976     -0.001",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pc', 'number': 7, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'P -2yc'}"
989,LaMgI5,"Full Formula (La4 Mg4 I20)
Reduced Formula: LaMgI5
abc   :  12.294271  10.962425  12.612726
angles:  77.861155  90.000000  90.000000
Sites (28)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  La    0.738612  0.510957  0.752753        -0
  1  La    0.238612  0.489043  0.747247        -0
  2  La    0.761388  0.510957  0.252753        -0
  3  La    0.261388  0.489043  0.247247        -0
  4  Mg    0.495829  0.124575  0.885197         0
  5  Mg    0.004171  0.124575  0.385197         0
  6  Mg    0.995829  0.875425  0.614803         0
  7  Mg    0.504171  0.875425  0.114803        -0
  8  I     0.691392  0.218322  0.794843        -0
  9  I     0.29692   0.198533  0.79204         -0
 10  I     0.216898  0.481163  0.999993         0
 11  I     0.986886  0.445085  0.731673         0
 12  I     0.506364  0.869469  0.898264        -0
 13  I     0.006364  0.130531  0.601736        -0
 14  I     0.486886  0.554915  0.768327         0
 15  I     0.808608  0.218322  0.294843        -0
 16  I     0.716898  0.518837  0.500007         0
 17  I     0.20308   0.198533  0.29204         -0
 18  I     0.79692   0.801467  0.70796         -0
 19  I     0.283102  0.481163  0.499993         0
 20  I     0.191392  0.781678  0.705157        -0
 21  I     0.513114  0.445085  0.231673         0
 22  I     0.993636  0.869469  0.398264        -0
 23  I     0.493636  0.130531  0.101736        -0
 24  I     0.013114  0.554915  0.268327         0
 25  I     0.783102  0.518837  7e-06            0
 26  I     0.70308   0.801467  0.20796         -0
 27  I     0.308608  0.781678  0.205157        -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
990,SrLaI5,"Full Formula (Sr2 La2 I10)
Reduced Formula: SrLaI5
abc   :  11.449377  11.449377   7.980413
angles:  88.483306  88.483306 147.478751
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sr    0.675601  0.321803  0.256373         0
  1  Sr    0.321803  0.675601  0.756373         0
  2  La    0.920269  0.079766  0.249392         0
  3  La    0.079766  0.920269  0.749392         0
  4  I     0.788509  0.71253   0.106529         0
  5  I     0.805811  0.199588  0.992848         0
  6  I     0.629097  0.369553  0.744375         0
  7  I     0.795711  0.190162  0.505751         0
  8  I     0.71253   0.788509  0.606529         0
  9  I     0.284012  0.207848  0.392051         0
 10  I     0.199588  0.805811  0.492848         0
 11  I     0.369553  0.629097  0.244375         0
 12  I     0.190162  0.795711  0.005751         0
 13  I     0.207848  0.284012  0.892051         0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cc', 'number': 9, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'C -2yc'}"
991,Co(IO3)2,"Full Formula (Co4 I8 O24)
Reduced Formula: Co(IO3)2
abc   :   5.371537   5.659419  17.746278
angles:  90.000000  90.000000  90.000000
Sites (36)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Co    0.723448  0.171895  0.100213     2.738
  1  Co    0.223448  0.328105  0.899787     2.738
  2  Co    0.276552  0.671895  0.399787     2.738
  3  Co    0.776552  0.828105  0.600213     2.738
  4  I     0.976567  0.139675  0.424872     0.012
  5  I     0.257029  0.219305  0.205869     0.01
  6  I     0.757029  0.280695  0.794131     0.01
  7  I     0.476567  0.360325  0.575128     0.012
  8  I     0.023433  0.639675  0.075128     0.012
  9  I     0.742971  0.719305  0.294131     0.01
 10  I     0.242971  0.780695  0.705869     0.01
 11  I     0.523433  0.860325  0.924872     0.012
 12  O     0.102412  0.001534  0.336386     0.027
 13  O     0.028973  0.02173   0.157929     0.032
 14  O     0.520541  0.011693  0.204428     0.019
 15  O     0.419087  0.117923  0.979739     0.038
 16  O     0.89309   0.130769  0.877861     0.025
 17  O     0.746219  0.165874  0.549139     0.025
 18  O     0.246219  0.334126  0.450861     0.025
 19  O     0.39309   0.369231  0.122139     0.025
 20  O     0.919087  0.382077  0.020261     0.038
 21  O     0.020541  0.488307  0.795572     0.019
 22  O     0.528973  0.47827   0.842071     0.032
 23  O     0.602412  0.498466  0.663614     0.027
 24  O     0.897588  0.501534  0.163614     0.027
 25  O     0.971027  0.52173   0.342071     0.032
 26  O     0.479459  0.511693  0.295572     0.019
 27  O     0.580913  0.617923  0.520261     0.038
 28  O     0.10691   0.630769  0.622139     0.025
 29  O     0.253781  0.665874  0.950861     0.025
 30  O     0.753781  0.834126  0.049139     0.025
 31  O     0.60691   0.869231  0.377861     0.025
 32  O     0.080913  0.882077  0.479739     0.038
 33  O     0.979459  0.988307  0.704428     0.019
 34  O     0.471027  0.97827   0.657929     0.032
 35  O     0.397588  0.998466  0.836386     0.027",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_12_12_1', 'number': 19, 'point_group': '222', 'crystal_system': 'orthorhombic', 'hall': 'P 2ac 2ab'}"
992,Co(IO3)2,"Full Formula (Co4 I8 O24)
Reduced Formula: Co(IO3)2
abc   :   5.237920   7.077981  14.773954
angles:  90.000000  90.000000  90.000000
Sites (36)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Co    0.75      0.623585  0.5          2.726
  1  Co    0.25      0.376415  0.5          2.726
  2  Co    0.25      0.876415  0            2.726
  3  Co    0.75      0.123585  0            2.726
  4  I     0.230256  0.780967  0.647596     0.023
  5  I     0.730256  0.219033  0.647596     0.023
  6  I     0.730256  0.719033  0.852404     0.023
  7  I     0.230256  0.280967  0.852404     0.023
  8  I     0.769744  0.719033  0.147596     0.023
  9  I     0.269744  0.280967  0.147596     0.023
 10  I     0.269744  0.780967  0.352404     0.023
 11  I     0.769744  0.219033  0.352404     0.023
 12  O     0.908513  0.399662  0.579006     0.039
 13  O     0.408513  0.600338  0.579006     0.039
 14  O     0.937432  0.820994  0.579668     0.025
 15  O     0.437432  0.179006  0.579668     0.025
 16  O     0.107712  0.13252   0.762127     0.014
 17  O     0.607712  0.86748   0.762127     0.014
 18  O     0.107712  0.63252   0.737873     0.014
 19  O     0.607712  0.36748   0.737873     0.014
 20  O     0.437432  0.679006  0.920332     0.025
 21  O     0.937432  0.320994  0.920332     0.025
 22  O     0.908513  0.899662  0.920994     0.039
 23  O     0.408513  0.100338  0.920994     0.039
 24  O     0.591487  0.899662  0.079006     0.039
 25  O     0.091487  0.100338  0.079006     0.039
 26  O     0.062568  0.679006  0.079668     0.025
 27  O     0.562568  0.320994  0.079668     0.025
 28  O     0.392288  0.63252   0.262127     0.014
 29  O     0.892288  0.36748   0.262127     0.014
 30  O     0.892288  0.86748   0.237873     0.014
 31  O     0.392288  0.13252   0.237873     0.014
 32  O     0.562568  0.820994  0.420332     0.025
 33  O     0.062568  0.179006  0.420332     0.025
 34  O     0.091487  0.600338  0.420994     0.039
 35  O     0.591487  0.399662  0.420994     0.039",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pbcn', 'number': 60, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2n 2ab'}"
993,Ce(IO3)2,"Full Formula (Ce4 I8 O24)
Reduced Formula: Ce(IO3)2
abc   :  11.501034   7.130532   8.951639
angles:  52.295633  90.000000  90.000000
Sites (36)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ce    0.935543  0.217476  0.782623        -0
  1  Ce    0.435543  0.782524  0.717377        -0
  2  Ce    0.564457  0.217476  0.282623        -0
  3  Ce    0.064457  0.782524  0.217377        -0
  4  I     0.10368   0.781507  0.681093         0
  5  I     0.60368   0.218493  0.818907         0
  6  I     0.253453  0.27739   0.675902         0
  7  I     0.753453  0.72261   0.824098         0
  8  I     0.246547  0.27739   0.175902         0
  9  I     0.746547  0.72261   0.324098         0
 10  I     0.39632   0.781507  0.181093         0
 11  I     0.89632   0.218493  0.318907         0
 12  O     0.106151  0.399477  0.557241        -0
 13  O     0.497501  0.459059  0.720838        -0
 14  O     0.91732   0.07089   0.575455        -0
 15  O     0.738785  0.384472  0.786471        -0
 16  O     0.238785  0.615528  0.713529        -0
 17  O     0.549267  0.07042   0.583187         0
 18  O     0.997501  0.540941  0.779162        -0
 19  O     0.26828   0.045803  0.631524         0
 20  O     0.76828   0.954197  0.868476         0
 21  O     0.393849  0.399477  0.057241        -0
 22  O     0.049267  0.92958   0.916813         0
 23  O     0.58268   0.07089   0.075455        -0
 24  O     0.41732   0.92911   0.924545        -0
 25  O     0.950733  0.07042   0.083187         0
 26  O     0.606151  0.600523  0.942759        -0
 27  O     0.23172   0.045803  0.131524         0
 28  O     0.73172   0.954197  0.368476         0
 29  O     0.002499  0.459059  0.220838        -0
 30  O     0.450733  0.92958   0.416813         0
 31  O     0.761215  0.384472  0.286471        -0
 32  O     0.261215  0.615528  0.213529        -0
 33  O     0.08268   0.92911   0.424545        -0
 34  O     0.502499  0.540941  0.279162        -0
 35  O     0.893849  0.600523  0.442759        -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
994,Co(IO3)2,"Full Formula (Co4 I8 O24)
Reduced Formula: Co(IO3)2
abc   :  11.207940   6.688727   8.068858
angles:  62.646131  90.000000  90.000000
Sites (36)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Co    0.898752  0.157755  0.026976     2.751
  1  Co    0.398752  0.842245  0.473024     2.751
  2  Co    0.601248  0.157755  0.526976     2.751
  3  Co    0.101248  0.842245  0.973024     2.751
  4  I     0.206883  0.353741  0.930181     0.019
  5  I     0.706883  0.646259  0.569819     0.019
  6  I     0.080622  0.785484  0.46146      0.013
  7  I     0.580622  0.214516  0.03854      0.013
  8  I     0.419378  0.785484  0.96146      0.013
  9  I     0.919378  0.214516  0.53854      0.013
 10  I     0.293117  0.353741  0.430181     0.019
 11  I     0.793117  0.646259  0.069819     0.019
 12  O     0.08277   0.145342  0.98644      0.042
 13  O     0.894519  0.350665  0.690978     0.015
 14  O     0.611254  0.416828  0.588734     0.03
 15  O     0.212895  0.450345  0.678116     0.009
 16  O     0.712895  0.549655  0.821884     0.009
 17  O     0.718159  0.040306  0.099997     0.024
 18  O     0.462273  0.010893  0.172554     0.026
 19  O     0.111254  0.583172  0.911266     0.03
 20  O     0.962273  0.989107  0.327446     0.026
 21  O     0.218159  0.959694  0.400003     0.024
 22  O     0.394519  0.649335  0.809022     0.015
 23  O     0.58277   0.854658  0.51356      0.042
 24  O     0.41723   0.145342  0.48644      0.042
 25  O     0.605481  0.350665  0.190978     0.015
 26  O     0.781841  0.040306  0.599997     0.024
 27  O     0.037727  0.010893  0.672554     0.026
 28  O     0.888746  0.416828  0.088734     0.03
 29  O     0.537727  0.989107  0.827446     0.026
 30  O     0.281841  0.959694  0.900003     0.024
 31  O     0.287105  0.450345  0.178116     0.009
 32  O     0.787105  0.549655  0.321884     0.009
 33  O     0.388746  0.583172  0.411266     0.03
 34  O     0.105481  0.649335  0.309022     0.015
 35  O     0.91723   0.854658  0.01356      0.042",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
995,LaMgI5,"Full Formula (La2 Mg2 I10)
Reduced Formula: LaMgI5
abc   :   8.197525   8.197525  12.093352
angles:  68.561010  68.561010  84.505026
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  La    0.495852  0.99465   0.493647         0
  1  La    0.99465   0.495852  0.993647         0
  2  Mg    0.350802  0.648016  0.243527        -0
  3  Mg    0.648016  0.350802  0.743527        -0
  4  I     0.297035  0.921253  0.333786         0
  5  I     0.649656  0.716449  0.031001         0
  6  I     0.921253  0.297035  0.833786         0
  7  I     0.821354  0.165164  0.241224        -0
  8  I     0.295656  0.352016  0.456915         0
  9  I     0.716449  0.649656  0.531001         0
 10  I     0.165164  0.821354  0.741224        -0
 11  I     0.077932  0.686167  0.154702         0
 12  I     0.352016  0.295656  0.956915         0
 13  I     0.686167  0.077932  0.654702        -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cc', 'number': 9, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'C -2yc'}"
996,K3IO5,"Full Formula (K6 I2 O10)
Reduced Formula: K3IO5
abc   :   6.319490   6.319490   8.336736
angles:  90.000000  90.000000  90.000000
Sites (18)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  K     0         0         0.5              0
  1  K     0.5       0.5       0.5              0
  2  K     0         0         0                0
  3  K     0.5       0.5       0                0
  4  K     0         0.5       0.218412         0
  5  K     0.5       0         0.781588         0
  6  I     0         0.5       0.74253         -0
  7  I     0.5       0         0.25747         -0
  8  O     0.794311  0.294311  0.788612         0
  9  O     0.205689  0.705689  0.788612         0
 10  O     0.294311  0.205689  0.211388         0
 11  O     0.705689  0.794311  0.211388         0
 12  O     0.705689  0.205689  0.211388         0
 13  O     0.294311  0.794311  0.211388         0
 14  O     0.794311  0.705689  0.788612         0
 15  O     0.205689  0.294311  0.788612         0
 16  O     0         0.5       0.523788         0
 17  O     0.5       0         0.476212         0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P4/nmm', 'number': 129, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': 'P 4ab 2ab -1ab'}"
997,CsInI3,"Full Formula (Cs1 In1 I3)
Reduced Formula: CsInI3
abc   :   6.176852   6.180118   6.187018
angles:  89.966402  90.000000  90.000000
Sites (5)
  #  SP      a         b         c    magmom
---  ----  ---  --------  --------  --------
  0  Cs    0.5  0.997126  0.000119        -0
  1  In    0    0.479001  0.489651        -0
  2  I     0.5  0.488938  0.496859         0
  3  I     0    0.984054  0.507732         0
  4  I     0    0.490878  0.995642        -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm', 'number': 6, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'P -2y'}"
998,CsSrI3,"Full Formula (Cs1 Sr1 I3)
Reduced Formula: CsSrI3
abc   :   6.472273   6.472273   6.464809
angles:  89.908006  89.908006  89.989058
Sites (5)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.001758  0.001758  0.999585         0
  1  Sr    0.505731  0.505731  0.517708        -0
  2  I     0.002374  0.499111  0.51351          0
  3  I     0.487754  0.487754  0.01678          0
  4  I     0.499111  0.002374  0.51351          0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cm', 'number': 8, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'C -2y'}"
